1,Gutmann-Breitenberg,24,Koss-Runte,2022.00,9.00,4535133427
1,Gutmann-Breitenberg,29,"Baumbach, Christiansen and Dickinson",2022.00,5.00,3807076313
1,Gutmann-Breitenberg,74,"Roob, Koepp and Durgan",2022.00,8.00,4555119101
1,Gutmann-Breitenberg,94,Stamm-Little,2022.00,4.00,6237231115
1,Gutmann-Breitenberg,175,"Bayer, Rodriguez and Bahringer",2022.00,8.00,8700671470
1,Gutmann-Breitenberg,419,Hudson-Terry,2022.00,7.00,5001334099
1,Gutmann-Breitenberg,437,Windler Inc,2022.00,1.00,160562785
1,Gutmann-Breitenberg,490,Morar-Maggio,2022.00,4.00,556640782
1,Gutmann-Breitenberg,504,Hamill-Lakin,2022.00,8.00,1208643528
1,Gutmann-Breitenberg,591,Torphy PLC,2022.00,4.00,4207400269
1,Gutmann-Breitenberg,639,Sipes Ltd,2022.00,8.00,7989484167
1,Gutmann-Breitenberg,641,Monahan Ltd,2022.00,1.00,8102141768
1,Gutmann-Breitenberg,718,"Kessler, Bogan and Senger",2022.00,5.00,9955320047
2,"Walsh, Cummings and Zemlak",8,"D''Amore, Kohler and Mueller",2022.00,4.00,6730858054
2,"Walsh, Cummings and Zemlak",37,"Bernhard, Lang and Rowe",2022.00,2.00,100634782
2,"Walsh, Cummings and Zemlak",45,Stracke-Feest,2022.00,4.00,1547383342
2,"Walsh, Cummings and Zemlak",77,"Wilkinson, Gutkowski and Schaden",2022.00,4.00,3464528807
2,"Walsh, Cummings and Zemlak",83,"Corwin, Jast and Kerluke",2022.00,3.00,2764857564
2,"Walsh, Cummings and Zemlak",98,Vandervort PLC,2022.00,6.00,1253619026
2,"Walsh, Cummings and Zemlak",133,"Mertz, Bartoletti and Zulauf",2022.00,4.00,3608040009
2,"Walsh, Cummings and Zemlak",271,Huel and Sons,2022.00,5.00,8666478783
2,"Walsh, Cummings and Zemlak",272,Cruickshank PLC,2022.00,10.00,64776525
2,"Walsh, Cummings and Zemlak",304,"Tromp, Farrell and Gerlach",2022.00,11.00,3546023233
2,"Walsh, Cummings and Zemlak",306,Dooley Group,2022.00,10.00,1200156121
2,"Walsh, Cummings and Zemlak",315,"Mills, Kling and Kessler",2022.00,12.00,4164485577
2,"Walsh, Cummings and Zemlak",341,Spencer-McDermott,2022.00,3.00,8164188664
2,"Walsh, Cummings and Zemlak",363,Bahringer PLC,2022.00,7.00,4245445582
2,"Walsh, Cummings and Zemlak",425,Wyman-Zulauf,2022.00,4.00,7515392186
2,"Walsh, Cummings and Zemlak",432,"Dach, Kutch and Hoppe",2022.00,1.00,4737346021
2,"Walsh, Cummings and Zemlak",454,Schoen Inc,2022.00,7.00,3609316363
2,"Walsh, Cummings and Zemlak",478,Cremin LLC,2022.00,10.00,5375884273
2,"Walsh, Cummings and Zemlak",590,Strosin-Goodwin,2022.00,10.00,1802217843
2,"Walsh, Cummings and Zemlak",595,Halvorson-Hintz,2022.00,6.00,1163383931
2,"Walsh, Cummings and Zemlak",610,"Rempel, Dickens and Kihn",2022.00,5.00,129250257
2,"Walsh, Cummings and Zemlak",612,,2022.00,6.00,829252764
2,"Walsh, Cummings and Zemlak",749,Smitham Inc,2022.00,5.00,4664559928
2,"Walsh, Cummings and Zemlak",759,"Toy, Walsh and Schaden",2022.00,7.00,5219607245
3,"Roob, Champlin and Kerluke",20,"Hamill, Collier and Lockman",2022.00,6.00,1000846784
3,"Roob, Champlin and Kerluke",46,"Cronin, Klocko and Lemke",2022.00,1.00,4465837252
3,"Roob, Champlin and Kerluke",78,"Sauer, Greenfelder and Funk",2022.00,4.00,2351179620
3,"Roob, Champlin and Kerluke",170,"Satterfield, Durgan and Ullrich",2022.00,2.00,4012523117
3,"Roob, Champlin and Kerluke",192,"Moore, Rau and Koepp",2022.00,10.00,5546203779
3,"Roob, Champlin and Kerluke",193,"O''Connell, Reilly and Schneider",2022.00,4.00,5780228537
